Total cases,New Cases,Active cases,Recovered,Death cases,Date
2,1,2,0,0,2020-02-02
3,1,3,0,0,2020-02-03
3,0,3,0,0,2020-02-04
3,0,0,3,0,2020-02-21
3,0,0,3,0,2020-02-27
5,2,2,3,0,2020-03-02
6,1,3,3,0,2020-03-03
28,22,25,3,0,2020-03-04
30,2,27,3,0,2020-03-05
31,1,28,3,0,2020-03-06
34,3,31,3,0,2020-03-07
39,5,36,3,0,2020-03-08
44,5,41,3,0,2020-03-09
50,6,47,3,0,2020-03-10
60,10,57,3,0,2020-03-11
74,14,70,3,1,2020-03-12
81,7,69,10,2,2020-03-13
84,3,72,10,2,2020-03-14
110,26,95,13,2,2020-03-15
114,4,99,13,2,2020-03-16
137,23,120,14,3,2020-03-17
151,14,134,14,3,2020-03-18
173,22,149,20,4,2020-03-19
223,50,196,23,4,2020-03-20
315,92,288,23,4,2020-03-21
360,45,329,24,7,2020-03-22
468,108,424,35,9,2020-03-23
519,51,469,40,10,2020-03-24
606,87,553,43,10,2020-03-25
694,88,633,45,16,2020-03-26
834,140,748,67,19,2020-03-27
918,84,819,80,19,2020-03-28
1024,106,901,96,27,2020-03-29
1251,227,1117,102,32,2020-03-30
1397,146,1238,124,35,2020-03-31
1834,437,1649,144,41,2020-04-01
2069,235,1860,156,53,2020-04-02
2547,478,2322,163,62,2020-04-03
3072,525,2784,213,75,2020-04-04
3577,505,3219,275,83,2020-04-05
4281,704,3851,319,111,2020-04-06
4789,508,4312,353,124,2020-04-07
5274,485,4714,411,149,2020-04-08
5865,591,5218,478,169,2020-04-09
6761,896,6039,516,206,2020-04-10
7529,768,6634,653,242,2020-04-11
8447,918,7409,765,273,2020-04-12
9352,905,8048,980,324,2020-04-13
10815,1463,9272,1190,353,2020-04-14
11933,1118,10197,1344,392,2020-04-15
12759,826,10824,1515,420,2020-04-16
13835,1076,11616,1767,452,2020-04-17
14792,957,12289,2015,488,2020-04-18
16116,1324,13295,2302,519,2020-04-19
17656,1540,14255,2842,559,2020-04-20
18985,1329,15122,3260,603,2020-04-21
20471,1486,15859,3960,652,2020-04-22
21700,1229,16689,4325,686,2020-04-23
23452,1752,17915,4814,723,2020-04-24
24942,1490,18953,5210,779,2020-04-25
26917,1975,20177,5914,826,2020-04-26
28380,1463,21132,6362,886,2020-04-27
29974,1594,22010,7027,937,2020-04-28
31787,1813,22982,7797,1008,2020-04-29
33610,1823,24162,8373,1075,2020-04-30
35365,1755,25148,9065,1152,2020-05-01
37776,2411,26535,10018,1223,2020-05-02
40263,2487,28070,10887,1306,2020-05-03
42836,2573,29685,11762,1389,2020-05-04
46711,3875,31967,13161,1583,2020-05-05
49391,2680,33514,14183,1694,2020-05-06
52952,3561,35902,15267,1783,2020-05-07
56342,3390,37916,16540,1886,2020-05-08
59662,3320,39834,17847,1981,2020-05-09
62939,3277,41472,19358,2109,2020-05-10
67152,4213,44029,20917,2206,2020-05-11
70756,3604,46008,22455,2293,2020-05-12
74281,3525,47480,24386,2415,2020-05-13
